subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
soc	SO10	時事問題	2025年10月21日に就任した、日本憲政史上初の女性の内閣総理大臣は誰ですか？	["小池百合子", "高市早苗", "上川陽子", "野田聖子"]	1	高市早苗	第104代内閣総理大臣に就任しました。	easy
soc	SO10	時事問題	高市早苗氏が内閣総理大臣に就任したのは2025年の何月何日ですか？	["9月21日", "10月21日", "11月21日", "10月1日"]	1	10月21日	日本憲政史上初の女性首相が誕生した日です。	easy
soc	SO10	時事問題	高市早苗氏は第何代の内閣総理大臣ですか？	["第102代", "第103代", "第104代", "第105代"]	2	第104代	2025年10月に就任しました。	normal
soc	SO10	時事問題	高市早苗氏が自民党総裁選の決選投票で破った相手は誰ですか？	["小泉進次郎", "河野太郎", "岸田文雄", "石破茂"]	0	小泉進次郎	2025年10月4日の総裁選での出来事です。	normal
soc	SO10	時事問題	高市早苗首相の前任者として、2025年7月の参議院選挙後に退陣を表明した首相は誰ですか？	["岸田文雄", "石破茂", "菅義偉", "安倍晋三"]	1	石破茂	参院選で与党が過半数を失ったことを受けて退陣しました。	normal
soc	SO08	公民（政治・憲法）	内閣総理大臣は、国会議員による投票で選ばれます。この投票を何と呼びますか？	["国民投票", "首班指名選挙", "総選挙", "信任投票"]	1	首班指名選挙	国会で行われる、首相を選ぶための選挙です。	normal
soc	SO10	時事問題	2025年の世界経済フォーラムが発表したジェンダーギャップ指数で、日本は146カ国中何位でしたか？	["68位", "98位", "118位", "138位"]	2	118位	先進国の中では最低水準です。	hard
soc	SO10	時事問題	ジェンダーギャップ指数は4つの分野で測定されます。次のうち含まれないものはどれですか？	["経済", "政治", "教育", "娯楽"]	3	娯楽	経済・政治・教育・健康の4分野で測定されます。	normal
soc	SO10	時事問題	東京都の女性知事として活躍している政治家は誰ですか？	["小池百合子", "蓮舫", "辻元清美", "野田聖子"]	0	小池百合子	2016年から東京都知事を務めています。	easy
soc	SO10	時事問題	イギリスの女性首相として「鉄の女」と呼ばれた政治家は誰ですか？	["メイ", "サッチャー", "トラス", "メルケル"]	1	サッチャー	1979年から1990年まで英国首相を務めました。	normal
soc	SO10	時事問題	2025年の大阪・関西万博が開催されたのは何月から何月までですか？	["3月～9月", "4月～10月", "5月～11月", "6月～12月"]	1	4月～10月	2025年4月13日から10月13日まで184日間開催されました。	normal
soc	SO10	時事問題	大阪・関西万博の開催場所となった、大阪湾にある人工島の名前は何ですか？	["夢洲", "舞洲", "咲洲", "天保山"]	0	夢洲	「ゆめしま」と読みます。四方を海に囲まれた人工島です。	easy
soc	SO10	時事問題	2025年の大阪・関西万博のテーマは何ですか？	["人類の進歩と調和", "いのち輝く未来社会のデザイン", "自然の叡智", "地球の未来"]	1	いのち輝く未来社会のデザイン	健康・医療とSDGsに焦点を当てたテーマです。	normal
soc	SO10	時事問題	「いのち輝く未来社会のデザイン」は、2025年のどのイベントのテーマですか？	["東京オリンピック", "愛知万博", "大阪・関西万博", "札幌冬季五輪"]	2	大阪・関西万博	SDGsの達成を目指す万博のテーマです。	easy
soc	SO10	時事問題	2025年の大阪・関西万博には、何カ国・地域が参加しましたか？	["128", "158", "188", "208"]	1	158	158の国と地域が参加しました。	hard
soc	SO10	時事問題	1970年の大阪万博のテーマは何でしたか？	["人類の進歩と調和", "いのち輝く未来社会のデザイン", "自然の叡智", "科学技術の発展"]	0	人類の進歩と調和	高度経済成長期の万博でした。	normal
soc	SO10	時事問題	1970年の大阪万博で有名なシンボルとして建てられた芸術作品は何ですか？	["太陽の塔", "エッフェル塔", "通天閣", "平和の塔"]	0	太陽の塔	岡本太郎氏が制作した作品です。	easy
soc	SO10	時事問題	1970年の大阪万博には約何万人が来場しましたか？	["3,421万人", "4,421万人", "5,421万人", "6,421万人"]	3	6,421万人	当時としては驚異的な来場者数でした。	hard
soc	SO10	時事問題	2005年に愛知県で開催された万博の通称は何ですか？	["愛・地球博", "愛知万博", "中部博覧会", "EXPO2005"]	0	愛・地球博	「自然の叡智」がテーマでした。	normal
