subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
jp	JP03	物語文読解	立場が弱い人（病気の人や年下など）に対して、親切に接したり思いやったりすることを何といいますか？	"[""いたわる"",""ねぎらう"",""慈しむ"",""感慨""]"	0	いたわる	「いたわる」は、自分より弱い立場の人を大切に扱う優しい気持ちを表します。	easy
jp	JP03	物語文読解	坊主頭にした妹を心配して、姉が優しい声をかけました。このような様子を何といいますか？	"[""郷愁"",""いたわる"",""卑屈"",""健気""]"	1	いたわる	妹の立場を思いやって親切に接する様子は「いたわる」と表現するのが適切です。	easy
jp	JP03	物語文読解	他人の苦労や努力に対して、感謝の気持ちを表すことを何といいますか？	"[""いたわる"",""ねぎらう"",""慈しむ"",""高揚""]"	1	ねぎらう	「ねぎらう」は、相手の頑張りに対して「お疲れ様」「よくやった」と感謝することです。	easy
jp	JP03	物語文読解	勇気を出して人助けをした少年に対し、周囲の大人たちが感謝の声をかけました。この時の大人たちの態度は？	"[""ねぎらう"",""気後れ"",""疎外感"",""横柄""]"	0	ねねぎらう	苦労や努力を認めて感謝することを「ねぎらう」と言います。目上の人が下の者に対して使うことが多い言葉です。	easy
jp	JP03	物語文読解	かわいがって、大切に愛情を注ぐ様子を意味する心情語はどれですか？	"[""いたわる"",""ねぎらう"",""慈しむ"",""感慨""]"	2	慈しむ	「慈しむ（いつくしむ）」は、弱いものや大切なものに深い愛情を注ぐことを指します。	easy
jp	JP03	物語文読解	祖母が孫のために、心を込めてショールを編んでくれました。この時の祖母の様子を表す言葉は？	"[""慈しむ"",""高揚"",""晴れがましい"",""健気""]"	0	慈しむ	孫への深い愛情を込めて大切に物を作る様子は「慈しむ」と表現されます。	easy
jp	JP03	物語文読解	子どもや立場の弱い者が、困難なことに立ち向かっていく立派な様子を何といいますか？	"[""健気（けなげ）"",""卑屈（ひくつ）"",""横柄（おうへい）"",""感慨（かんがい）""]"	0	健気（けなげ）	「健気」は、弱い者が一生懸命に頑張る姿を、大人が褒めるときによく使います。	normal
jp	JP03	物語文読解	厳しい自然の中を、小さな鳩が力強く渡っていく姿を表現するのに最もふさわしい言葉は？	"[""高揚"",""健気"",""羨望"",""解放感""]"	1	健気	体が小さく弱い存在が、困難に負けずに頑張る美しい姿を「健気」と言います。	normal
jp	JP03	物語文読解	故郷（ふるさと）や、過ぎ去った過去のことを懐かしく思う感情を何といいますか？	"[""郷愁（きょうしゅう）"",""葛藤（かっとう）"",""羞恥心（しゅうちしん）"",""感慨（かんがい）""]"	0	郷愁（きょうしゅう）	「郷愁」は、昔のことや故郷を懐かしむ気持ちで、ノスタルジーとも呼ばれます。	normal
jp	JP03	物語文読解	亡くなった姉が弾いていた曲を聴いて、懐かしさと共に昔を思い出す気持ちを何といいますか？	"[""気後れ"",""郷愁"",""憤り"",""無力感""]"	1	郷愁	過去の大切な思い出や場所を懐かしく思う気持ちは「郷愁」です。	normal
jp	JP03	物語文読解	気分や気持ちが高まり、テンションが上がっている状態を表す二字熟語はどれですか？	"[""感慨"",""高揚"",""羨望"",""解放""]"	1	高揚	「高揚（こうよう）」は、精神や気分が一段と高まることを意味します。	normal
jp	JP03	物語文読解	視力を失った兄が、伴走者と走る中で感じた「怖さを超えた昂ぶり」を表す言葉は？	"[""高揚"",""慈しむ"",""いたたまれない"",""卑屈""]"	0	高揚	未知の世界や限界に挑戦する際の、ワクワクした気持ちの高まりを「高揚」と言います。	normal
jp	JP03	物語文読解	ある出来事に対し、心に深く感じ入る「しみじみとした」様子を何といいますか？	"[""高揚"",""感慨（かんがい）"",""羨望"",""郷愁""]"	1	感慨（かんがい）	「感慨」は、過去を振り返ったりして、しみじみと心に深く感じることです。	normal
jp	JP03	物語文読解	園長先生が、才能ある生徒を「神様の贈り物だ」としみじみ語る様子を表すのに適した言葉は？	"[""感慨深げ"",""晴れがましい"",""いたたまれない"",""横柄""]"	0	感慨深げ	単なる感動よりも、深くしみじみと感じ入っている様子を「感慨深い」と表現します。	normal
jp	JP03	物語文読解	多くの人の注目を浴びて、気持ちが晴れやかで誇らしい様子を何といいますか？	"[""晴れがましい"",""高揚"",""感慨"",""健気""]"	0	晴れがましい	「晴れがましい」は、表舞台に立って誇らしい気分になることを指します。	normal
jp	JP03	物語文読解	目立つグループに入り、まるで自分にライトが当たっているような誇らしい気分を表す言葉は？	"[""解放感"",""羨望"",""晴れがましい"",""郷愁""]"	2	晴れがましい	注目されて気分が明るく、誇らしくなっている状態を「晴れがましい」と言います。	normal
jp	JP03	物語文読解	緊張や制限から解き放たれて、自由になったと感じる感覚を何といいますか？	"[""解放感"",""感慨"",""疎外感"",""羞恥心""]"	0	解放感	縛られていたもの（テストや規則など）がなくなり、ホッとして自由を感じるのが「解放感」です。	normal
jp	JP03	物語文読解	「テスト中（緊張）」から「テスト終了（きっかけ）」を経て生まれる気持ちは何ですか？	"[""高揚"",""解放感"",""気後れ"",""葛藤""]"	1	解放感	厳しい制限や緊張が終わった後に訪れる自由な感覚は「解放感」と呼ばれます。	normal
jp	JP03	物語文読解	他人の状態を「うらやましい」と強く思い、自分もそうなりたいと願う気持ちは？	"[""羨望（せんぼう）"",""憤り（いきどおり）"",""羞恥心（しゅうちしん）"",""疎外感（そがいかん）""]"	0	羨望（せんぼう）	「羨望」は、他人の優れた点や幸運をうらやましく思う気持ちです。	hard
jp	JP03	物語文読解	合格した友人に対し、周りの人たちが向ける「うらやましそうな視線」を何といいますか？	"[""横柄なまなざし"",""羨望のまなざし"",""健気なまなざし"",""卑屈なまなざし""]"	1	羨望のまなざし	他人の成功をうらやましいと思う気持ちを込めた視線を「羨望のまなざし」と呼びます。	hard
jp	JP03	物語文読解	相手の勢いやその場の雰囲気に圧倒されて、心がひるんでしまうことを何といいますか？	"[""気後れ"",""疎外感"",""卑屈"",""いたたまれない""]"	0	気後れ	「気後れ（きおくれ）」は、周囲に気圧されて自信をなくし、ためらってしまうことです。	normal
jp	JP03	物語文読解	大人数で盛り上がっている人たちの輪を前に、自分だけしり込みしてしまう心情は？	"[""気後れ"",""羞恥心"",""感慨"",""横柄""]"	0	気後れ	周りの勢いに圧倒され、自分が出せなくなるような内向的な心の動きを「気後れ」と言います。	normal
jp	JP03	物語文読解	自分を大したことがないといじけ、自分を卑しめるような態度のことを何といいますか？	"[""卑屈（ひくつ）"",""羞恥心（しゅうちしん）"",""無力感（むりょくかん）"",""憤り（いきどおり）""]"	0	卑屈（ひくつ）	「卑屈」は、必要以上に自分を低く見て、いじけた態度をとることです。	normal
jp	JP03	物語文読解	努力する友人を見て「私なんかどうせダメだ」と自分を卑しめる言葉を吐く様子は？	"[""卑屈"",""疎外感"",""いたたまれない"",""憤り""]"	0	卑屈	自分を過小評価して、すねたりいじけたりする態度は「卑屈」と呼ばれます。	normal
jp	JP03	物語文読解	自分の言動や過去の未熟さを、恥ずかしく思う気持ちを何といいますか？	"[""羞恥心（しゅうちしん）"",""無力感（むりょくかん）"",""羨望（せんぼう）"",""気後れ（きおくれ）""]"	0	羞恥心（しゅうちしん）	「羞恥心」は、自分のしたことが恥ずかしいと感じる心のことです。	normal
jp	JP03	物語文読解	昔の自分が書いた「生意気な文章」がみんなの前で読まれたとき、感じる気持ちは？	"[""感慨"",""羞恥心"",""解放感"",""高揚""]"	1	羞恥心	過去の未熟な自分を客観的に見て、顔が赤くなるほど恥ずかしく思うのは「羞恥心」です。	normal
jp	JP03	物語文読解	自分には状況を変える力がないと悟り、虚しく思う気持ちを何といいますか？	"[""無力感"",""疎外感"",""気後れ"",""感慨""]"	0	無力感	「無力感」は、自分の力のなさを痛感して、どうしようもないと感じる絶望に近い気持ちです。	normal
jp	JP03	物語文読解	悲しんでいる友人のために、一緒に泣くことしかできない自分を「恨めしい」と思う心情は？	"[""無力感"",""卑屈"",""羞恥心"",""いたたまれない""]"	0	無力感	相手を助けたいのに何もできない、自分の力のなさを嘆く気持ちを「無力感」と言います。	normal
jp	JP03	物語文読解	集団の中で、自分だけが避けられ、仲間外れにされていると感じる気持ちは？	"[""疎外感（そがいかん）"",""気後れ（きおくれ）"",""羨望（せんぼう）"",""卑屈（ひくつ）""]"	0	疎外感（そがいかん）	「疎外感」は、自分がのけ者にされている、居場所がないと感じる孤独な気持ちです。	normal
jp	JP03	物語文読解	周りと違う道を選んだことで、集団から切り離されたように感じる不安な気持ちは？	"[""疎外感"",""解放感"",""感慨"",""憤り""]"	0	疎外感	周りと馴染めなかったり、排除されたりしている感覚を「疎外感」と呼びます。	normal
