subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
sci	SC11	気象	地表付近の空気が上昇し、上空へ行くほど気圧が低くなることで起こる現象は何？	"[""膨張"",""収縮"",""蒸発"",""凝縮""]"	0	膨張	上空は気圧が低いため、上昇した空気はまわりから押される力が弱まり、膨らみます（膨張）。	easy
sci	SC11	気象	上昇した空気が「膨張」すると、その空気の温度（気温）はどう変化する？	"[""上がる"",""下がる"",""変わらない"",""一度上がり、その後下がる""]"	1	下がる	空気が膨張すると、エネルギーを使って温度が下がる性質があります。これが雲ができるきっかけになります。	easy
sci	SC11	気象	空気中の水蒸気が冷やされて、水滴になり始める時の温度を何という？	"[""沸点"",""氷点"",""露点"",""湿点""]"	2	露点	気温が下がり、飽和水蒸気量（空気が含める水蒸気の限界）を下回ると、水蒸気が水滴になります。	easy
sci	SC11	気象	「露点」とは、どのような温度のこと？	"[""水が凍り始める温度"",""水が沸騰し始める温度"",""空気中の水蒸気が水滴になり始める温度"",""雲が消え始める温度""]"	2	空気中の水蒸気が水滴になり始める温度	空気が冷えて、含みきれなくなった水蒸気が現れ始める瞬間の温度のことです。	easy
sci	SC11	気象	気温が0℃以下の非常に高い場所にある雲は、主に何でできている？	"[""水滴"",""氷の結晶"",""水蒸気"",""ちり""]"	1	氷の結晶	雲は水滴の集まりですが、0℃以下の高い場所では水滴が凍って「氷の結晶」になります。	easy
sci	SC11	気象	雲をつくっているものの正体として正しい組み合わせはどれ？	"[""水蒸気と空気"",""水滴や氷の結晶"",""ちりとガス"",""雨と雪""]"	1	水滴や氷の結晶	雲は気体の「水蒸気」ではなく、液体（水滴）や固体（氷）の集まりです。	normal
sci	SC11	気象	湿った空気が山を越え、反対側のふもとに吹き降りる際に気温が上がる現象を何という？	"[""エルニーニョ現象"",""フェーン現象"",""ヒートアイランド現象"",""上昇気流現象""]"	1	フェーン現象	山を越えるときに雨を降らせて乾燥した空気が、山を下る際に急激に温度を上げる現象です。	normal
sci	SC11	気象	フェーン現象が起きたとき、山のふもとの空気の状態はどうなる？	"[""低温で湿っている"",""低温で乾燥している"",""高温で湿っている"",""高温で乾燥している""]"	3	高温で乾燥している	山を越える前に水分を失っているため、ふもとでは熱く乾いた風が吹きます。	normal
sci	SC11	気象	「すじ雲」とも呼ばれる、最も高い空にできる白いすじ状の雲の名前は？	"[""巻雲"",""積雲"",""層雲"",""乱層雲""]"	0	巻雲	刷毛（はけ）で掃いたような形が特徴の上層雲です。	normal
sci	SC11	気象	巻雲（すじ雲）は、主に何が集まってできている？	"[""大きな水滴"",""小さな水滴"",""氷の粒"",""水蒸気""]"	2	氷 of 粒	非常に高い空にできるため、気温が低く、氷の粒（結晶）で構成されています。	normal
sci	SC11	気象	「入道雲」とも呼ばれ、強い雨や雷をもたらす、垂直に発達した雲の名前は？	"[""巻層雲"",""高層雲"",""積乱雲"",""層積雲""]"	2	積乱雲	強い上昇気流によって塔のように高く伸びる雲で、激しい気象現象を引き起こします。	easy
sci	SC11	気象	積乱雲（入道雲）が発生しやすい主な原因は何？	"[""強い上昇気流"",""強い下降気流"",""一定の風"",""気温の急激な上昇""]"	0	強い上昇気流	地面が温められるなどして強い上昇気流が起きると、雲が垂直方向に大きく発達します。	easy
sci	SC11	気象	日本の上空で、一年中西から東に向かって吹いている強い風の名前は？	"[""季節風"",""貿易風"",""偏西風"",""上昇気流""]"	2	偏西風	中緯度地帯の上空を流れる西寄りの風で、日本の天気に大きな影響を与えます。	easy
sci	SC11	気象	日本の天気が一般的に「西から東」へと変わっていく主な理由は何？	"[""地球が自転しているから"",""偏西風が吹いているから"",""太平洋高気圧があるから"",""海流の影響""]"	1	偏西風が吹いているから	上空の偏西風が、高気圧や低気圧を西から東へと運ぶためです。	easy
