subject	genre_id	genre_name	question_text	choices	correct_index	correct_answer	hint	difficulty
soc	SO07	歴史（明治〜現代）	1873年の地租改正で、税金はどのように納めることになりましたか？	"[""収穫した米で納める"",""地価の3%を現金で納める"",""労働で納める"",""地価の10%を現金で納める""]"	1	地価の3%を現金で納める	それまでの「物納（米）」から「金納（現金）」に変わり、地価の3%が税率となりました。	easy
soc	SO07	歴史（明治〜現代）	地租改正によって、土地の所有者に発行された土地の所有権を認める証書を何といいますか？	"[""株札"",""地券"",""免状"",""藩札""]"	1	地券	明治政府は地券を発行して土地の所有者をはっきりさせ、その人に納税の義務を負わせました。	normal
soc	SO07	歴史（明治〜現代）	明治政府が地租改正を行い、税金を現金で納めさせるようにした最大の目的は何ですか？	"[""農民の負担を増やすため"",""米の流通を止めるため"",""政府が安定した収入を得るため"",""外国との貿易を増やすため""]"	2	政府が安定した収入を得るため	収穫量に左右される米ではなく、地価に応じた現金にすることで、予算を立てやすくしました。	normal
soc	SO07	歴史（明治〜現代）	1871年、藩を廃止して県を置き、中央政府が直接支配するようにした政策を何といいますか？	"[""版籍奉還"",""廃藩置県"",""文明開化"",""学制""]"	1	廃藩置県	「藩」をなくして「県」を置くことで、天皇を中心とする中央集権国家の仕組みを整えました。	easy
soc	SO07	歴史（明治〜現代）	1871年の廃藩置県で、政府が各県に派遣した役職の名前は何ですか？	"[""知藩事"",""将軍"",""県令・府知事"",""執権""]"	2	県令・府知事	旧大名（知藩事）を辞めさせ、政府が任命した官僚（県令や府知事）を派遣しました。	normal
soc	SO07	歴史（明治〜現代）	明治時代、群馬県に建てられた、生糸の品質向上を目指した官営模範工場は何ですか？	"[""八幡製鉄所"",""富岡製糸場"",""長崎造船所"",""足尾銅山""]"	1	富岡製糸場	フランスの技術を取り入れた日本初の本格的な製糸工場で、現在は世界遺産です。	easy
soc	SO07	歴史（明治〜現代）	富岡製糸場で主に生産され、当時の日本の重要な輸出品となったものは何ですか？	"[""綿糸"",""生糸"",""鉄鋼"",""お茶""]"	1	生糸	カイコの繭から作られる「生糸」は、当時の日本にとって外貨を稼ぐ最大の輸出品でした。	easy
soc	SO07	歴史（明治〜現代）	1871年に欧米へ派遣された岩倉使節団の、主な目的の1つは何ですか？	"[""キリスト教を広めるため"",""不平等条約の改正交渉"",""新しい藩を作るため"",""戦争の準備をするため""]"	1	不平等条約の改正交渉	江戸時代に結ばれた不平等な条約を直すための予備交渉と、欧米の視察が目的でした。	easy
soc	SO07	歴史（明治〜現代）	岩倉使節団に同行し、後に女子教育の発展に尽力した人物は誰ですか？	"[""樋口一葉"",""津田梅子"",""与謝野晶子"",""平塚らいてう""]"	1	津田梅子	当時わずか6歳で留学生として同行し、帰国後に女子英学塾（現在の津田塾大学）を創設しました。	normal
soc	SO07	歴史（明治〜現代）	岩倉使節団の全権大使として、欧米を視察した人物は誰ですか？	"[""大久保利通"",""伊藤博文"",""岩倉具視"",""木戸孝允""]"	2	岩倉具視	右大臣であった岩倉具視がトップとなり、政府の有力者が多数参加しました。	easy
soc	SO07	歴史（明治〜現代）	1874年に「民撰議院設立の建白書」を提出し、自由民権運動を始めた人物は誰ですか？	"[""西郷隆盛"",""板垣退助"",""大隈重信"",""勝海舟""]"	1	板垣退助	「板垣死すとも自由は死せず」という言葉でも有名な、自由民権運動のリーダーです。	easy
soc	SO07	歴史（明治〜現代）	板垣退助らが政府に対して「国民が選んだ議員による議会」を作るよう求めた書面を何といいますか？	"[""五箇条の御誓文"",""民撰議院設立の建白書"",""大日本帝国憲法"",""教育勅語""]"	1	民撰議院設立の建白書	藩閥政治を批判し、国民の意見を政治に反映させることを求めました。	normal
soc	SO07	歴史（明治〜現代）	1877年、西郷隆盛を首領として鹿児島県で起きた、日本最後の内戦は何ですか？	"[""戊辰戦争"",""西南戦争"",""秩父事件"",""生麦事件""]"	1	西南戦争	特権を奪われた不平士族たちが起こした最大規模の反乱ですが、政府軍に敗れました。	easy
soc	SO07	歴史（明治〜現代）	西南戦争の後、政府への反対運動は武力による反乱からどのような形に変わりましたか？	"[""一揆による抵抗"",""言論による自由民権運動"",""海外への亡命"",""宗教活動""]"	1	言論による自由民権運動	武力では政府に勝てないことがわかり、言論や集会によって権利を求めるようになりました。	normal
soc	SO07	歴史（明治〜現代）	1885年に創設された内閣制度において、初代の内閣総理大臣になった人物は誰ですか？	"[""黒田清隆"",""山県有朋"",""伊藤博文"",""松方正義""]"	2	伊藤博文	長州藩出身で、憲法制定や内閣制度の確立に大きな役割を果たしました。	easy
soc	SO07	歴史（明治〜現代）	伊藤博文が憲法を作る際、最も参考にしたのはどこの国の憲法ですか？	"[""アメリカ"",""イギリス"",""フランス"",""ドイツ（プロイセン）""]"	3	ドイツ（プロイセン）	当時の日本と同じように、君主（皇帝）の権限が強いドイツの仕組みを手本にしました。	easy
